"id","deployment_code","community_name","latitude","longitude","plaque_text","filter_project_completion_year","location_type","project_type","filter_country_id","country_name","partner_name","filter_project_type","modified"
"1","ET.GOH.Q4.09.048.230","Adikokob Elementary","14.1925325393677","38.2462348937988","mycharitywater.org","2011","School","Latrine","1","Ethiopia","A Glimmer of Hope","2","2012-05-03 12:12:23"
"2","ET.GOH.Q4.09.048.250","Adikeberayo Elementary ","14.1743392944336","38.510181427002","mycharitywater.org","2011","School","Latrine","1","Ethiopia","A Glimmer of Hope","2","2012-05-03 12:12:23"
"3","ET.GOH.Q4.09.048.246","Gimelo  ","13.178186416626","39.4463768005371","mycharitywater.org","2011","School","Latrine","1","Ethiopia","A Glimmer of Hope","2","2012-05-03 12:12:23"
"4","ET.GOH.Q4.09.048.247","Hilisha ","13.4942779541016","39.6962089538574","mycharitywater.org","2011","School","Latrine","1","Ethiopia","A Glimmer of Hope","2","2012-05-03 12:12:23"
"5","ET.GOH.Q4.09.048.252","Kerenchea Elementary ","12.5892972946167","39.5361862182617","mycharitywater.org","2011","School","Latrine","1","Ethiopia","A Glimmer of Hope","2","2012-05-03 12:12:23"
"6","ET.GOH.Q4.09.048.249","Mai-Dimu Elementary ","14.0885887145996","38.1934051513672","mycharitywater.org","2011","School","Latrine","1","Ethiopia","A Glimmer of Hope","2","2012-05-03 12:12:23"
"7","ET.GOH.Q4.09.048.227","Meara Elementary ","13.2521495819092","39.4090423583984","mycharitywater.org","2011","School","Latrine","1","Ethiopia","A Glimmer of Hope","2","2012-05-03 12:12:23"
"8","ET.GOH.Q4.09.048.233","Meseko Elementary ","13.8350076675415","39.5833358764648","mycharitywater.org","2011","School","Latrine","1","Ethiopia","A Glimmer of Hope","2","2012-05-03 12:12:23"
"9","ET.GOH.Q4.09.048.239","Selam Elementary ","13.6757688522339","39.1903038024902","mycharitywater.org","2011","School","Latrine","1","Ethiopia","A Glimmer of Hope","2","2012-05-03 12:12:23"
"10","ET.GOH.Q4.09.048.251","Tsaedaemba Elementary","14.142783164978","38.1791343688965","mycharitywater.org","2011","School","Latrine","1","Ethiopia","A Glimmer of Hope","2","2012-05-03 12:12:23"
"11","ET.GOH.Q4.09.048.049","Mai Weyni","14.1486110687256","38.622501373291","Flavorpill Productions- 2009","2011","Village","Hand-Dug Well","1","Ethiopia","A Glimmer of Hope","1","2012-05-03 12:12:23"
"12","ET.GOH.Q4.09.048.050","Adi Shilash","14.0952777862549","38.5977783203125","Flavorpill Productions- 2009","2011","Village","Hand-Dug Well","1","Ethiopia","A Glimmer of Hope","1","2012-05-03 12:12:23"
"13","ET.GOH.Q4.09.048.093","Golgol Abyi","14.0308332443237","39.5077781677246","Gus and Nancy Hillenbrand Family","2011","Village","Hand-Dug Well","1","Ethiopia","A Glimmer of Hope","1","2012-05-03 12:12:23"
"14","ET.GOH.Q4.09.048.094","Betai Mebrek","14.0699996948242","39.5038871765137","Bill and Denise Hillenbrand Family","2011","Village","Hand-Dug Well","1","Ethiopia","A Glimmer of Hope","1","2012-05-03 12:12:23"
"15","ET.GOH.Q4.09.048.095","Mai Dekseymti","14.0863885879517","39.3805541992188","Erik and Lisa Tuveson Family","2011","Village","Hand-Dug Well","1","Ethiopia","A Glimmer of Hope","1","2012-05-03 12:12:23"
"16","ET.GOH.Q4.09.048.096","Gira Hamushte","14.0788888931274","39.3838882446289","Greg and Tracy Hartmann Family","2011","Village","Hand-Dug Well","1","Ethiopia","A Glimmer of Hope","1","2012-05-03 12:12:23"
"17","ET.GOH.Q4.09.048.097","Genio","13.8752784729004","39.3611106872559","Chip and Karrie Crowther Family","2011","Village","Hand-Dug Well","1","Ethiopia","A Glimmer of Hope","1","2012-05-03 12:12:23"
"18","ET.GOH.Q4.09.048.098","Erasur","13.8872222900391","39.3719444274902","The Hillenbrand Family","2011","Village","Hand-Dug Well","1","Ethiopia","A Glimmer of Hope","1","2012-05-03 12:12:23"
"19","ET.GOH.Q4.09.048.099","Mai Hamasen","14.0786113739014","39.4716682434082","The Hillenbrand Family","2011","Village","Hand-Dug Well","1","Ethiopia","A Glimmer of Hope","1","2012-05-03 12:12:23"
"20","ET.GOH.Q4.09.048.100","Walaku","13.8413887023926","39.3499984741211","Denim 108 Party Ltd","2011","Village","Hand-Dug Well","1","Ethiopia","A Glimmer of Hope","1","2012-05-03 12:12:23"
"21","ET.GOH.Q4.09.048.101","Hiwa","14.1230564117432","39.4563903808594","Denim 108 Party Ltd","2011","Village","Hand-Dug Well","1","Ethiopia","A Glimmer of Hope","1","2012-05-03 12:12:23"
"22","ET.GOH.Q4.09.048.102","Mihrkak","13.8580560684204","39.6741676330566","Denim 108 Party Ltd","2011","Village","Hand-Dug Well","1","Ethiopia","A Glimmer of Hope","1","2012-05-03 12:12:23"
"23","ET.GOH.Q4.09.048.103","Mai Agam Scoo","14.2880563735962","38.9647216796875","Denim 108 Party Ltd","2011","Village","Hand-Dug Well","1","Ethiopia","A Glimmer of Hope","1","2012-05-03 12:12:23"
"24","ET.GOH.Q4.09.048.104","Mai Areb","14.3675003051758","38.8577766418457","Denim 108 Party Ltd","2011","Village","Hand-Dug Well","1","Ethiopia","A Glimmer of Hope","1","2012-05-03 12:12:23"
"25","ET.GOH.Q4.09.048.105","Dur","14.034722328186","39.720832824707","Denim 108 Party Ltd","2011","Village","Hand-Dug Well","1","Ethiopia","A Glimmer of Hope","1","2012-05-03 12:12:23"
"26","ET.GOH.Q4.09.048.106","Gila","14.1105556488037","39.0491676330566","Denim 108 Party Ltd","2011","Village","Hand-Dug Well","1","Ethiopia","A Glimmer of Hope","1","2012-05-03 12:12:23"
"27","ET.GOH.Q4.09.048.107","Mai Darka","14.0427780151367","39.3038902282715","Grace Church of Chapel Hill","2011","Village","Hand-Dug Well","1","Ethiopia","A Glimmer of Hope","1","2012-05-03 12:12:23"
"28","ET.GOH.Q4.09.048.253","Gediba Elementary","14.1396827697754","39.0305480957031","charity: water","2011","School","Latrine","1","Ethiopia","A Glimmer of Hope","2","2012-05-03 12:12:23"
"29","ET.GOH.Q4.09.048.254","Endedo Elementary","12.6395635604858","39.530876159668","charity: water","2011","School","Latrine","1","Ethiopia","A Glimmer of Hope","2","2012-05-03 12:12:23"
"30","ET.GOH.Q4.09.048.255","Wenberet Elementary ","12.4893827438355","39.5134925842285","charity: water","2011","School","Latrine","1","Ethiopia","A Glimmer of Hope","2","2012-05-03 12:12:23"
"31","ET.GOH.Q4.09.048.193","Dera High ","14.0030555725098","39.7202796936035","Kick For Hope","2011","School","Drilled Well","1","Ethiopia","A Glimmer of Hope","3","2012-05-03 12:12:23"
"32","ET.GOH.Q4.09.048.210","Shimta Shibta Elementary","12.7961111068726","39.5030555725098","Nobody was thirsty","2011","School","Drilled Well","1","Ethiopia","A Glimmer of Hope","3","2012-07-11 11:27:07"
"33","ET.GOH.Q4.09.048.211","Tesfay Fereda Elementary","12.7463893890381","39.5263900756836","Barrett and Denihan School Well","2011","School","Drilled Well","1","Ethiopia","A Glimmer of Hope","3","2012-05-03 12:12:23"
"34","ET.GOH.Q4.09.048.216","Sero Elementary","14.3202781677246","39.2227783203125","Christian Brothers Automotive","2011","School","Drilled Well","1","Ethiopia","A Glimmer of Hope","3","2012-07-11 11:12:19"
